Office	Candidate Name	Party	Machine Votes	Absentee Votes	Total Votes	Percent Votes	Election Date	Data as of
Wilm City Council District 7	CHRIS JOHNSON	Democratic Party	1,797	868	2,665	0.9341	11/3/20	11/4/20 17:23
Wilm City Council District 7	DAYL C. THOMAS	Libertarian Party	123	65	188	0.0659	11/3/20	11/4/20 17:23
Wilm City Council District 8	NATHAN FIELD	Democratic Party	2,374	2,218	4,592	1	11/3/20	11/4/20 17:23
Wilm City Council at Large	MARIA D. CABRERA	Democratic Party	13,111	6,805	19,916	0.2631	11/3/20	11/4/20 17:23
Wilm City Council at Large	RYSHEEMA DIXON	Democratic Party	13,413	6,042	19,455	0.257	11/3/20	11/4/20 17:23
Wilm City Council at Large	LORETTA WALSH	Democratic Party	13,617	6,620	20,237	0.2673	11/3/20	11/4/20 17:23
Wilm City Council at Large	CIRO ADAMS	Republican Party	2,815	954	3,769	0.0498	11/3/20	11/4/20 17:23
Wilm City Council at Large	CALVIN BROWN	Republican Party	2,913	786	3,699	0.0489	11/3/20	11/4/20 17:23
Wilm City Council at Large	JAMES SPADOLA	Republican Party	4,731	2,342	7,073	0.0934	11/3/20	11/4/20 17:23
Wilm City Council at Large	RONNELL EDWARD PAGE	Independent Party Of Delaware	1,009	543	1,552	0.0205	11/3/20	11/4/20 17:23
KC Clerk of the Peace	BRENDA WOOTTEN	Democratic Party	26,504	17,894	44,398	0.5295	11/3/20	11/4/20 17:23
KC Clerk of the Peace	KIMBERLY PETTERS	Republican Party	32,079	5,860	37,939	0.4525	11/3/20	11/4/20 17:23
KC Clerk of the Peace	WILLIAM MCVAY	Libertarian Party	951	562	1,513	0.018	11/3/20	11/4/20 17:23
KC Register of Wills	HAROLD K. BRODE	Democratic Party	25,969	17,421	43,390	0.5188	11/3/20	11/4/20 17:23
KC Register of Wills	JOHN P. KELLY III	Republican Party	33,360	6,882	40,242	0.4812	11/3/20	11/4/20 17:23
Levy Court District 1	JOANNE H. MASTEN	Democratic Party	6,871	3,825	10,696	0.6177	11/3/20	11/4/20 17:23
Levy Court District 1	DOUG CHERVENAK	Republican Party	5,651	968	6,619	0.3823	11/3/20	11/4/20 17:23
Levy Court District 3	ALLAN ANGEL	Democratic Party	4,359	3,119	7,478	0.6586	11/3/20	11/4/20 17:23
Levy Court District 3	WELTON SATCHELL	Republican Party	3,119	758	3,877	0.3414	11/3/20	11/4/20 17:23
Levy Court District 5	GEORGE "JODY" SWEENEY	Democratic Party	4,350	3,021	7,371	0.572	11/3/20	11/4/20 17:23
Levy Court District 5	CLINT BROTHERS	Republican Party	4,503	1,013	5,516	0.428	11/3/20	11/4/20 17:23
SC Clerk of the Peace	NORMAN "JAY" JONES JR.	Republican Party	62,859	26,217	89,076	1	11/3/20	11/4/20 17:23
SC County Council District 1	HUNTER HASTINGS	Democratic Party	3,667	2,504	6,171	0.3472	11/3/20	11/4/20 17:23
SC County Council District 1	MICHAEL H. VINCENT	Republican Party	9,688	1,915	11,603	0.6528	11/3/20	11/4/20 17:23
SC County Council District 2	CYNTHIA C. GREEN	Republican Party	9,752	2,676	12,428	1	11/3/20	11/4/20 17:23
SC County Council District 3	MARK G. SCHAEFFER	Republican Party	11,146	5,401	16,547	1	11/3/20	11/4/20 17:23
